SPPLEO - Single Point Positioning for LEO satellites
____________________________________________________



Setup data
__________


Input file CMP_05_091_2F_SPPLEO.inp

Loading GPS observation data ...
  loaded /home/ae4872/Resources/Champ/CMP_05_091.rnx
  marker CHAMP
Select GPS observation data ...
  from   2005/04/01  00:00:00.000
  to     2005/04/01  23:59:30.000
  step   all
  first  2005/04/01  00:00:00.000
  last   2005/04/01  23:21:00.000
  total  8400 observations

Processing options:
  Single/dual frequ.       : L1/L2
  Position/velocity        : position only

Spacecraft parameters:
  SP3 s/c ID               : L06
  Antenna offset (XYZ) [m] :   -1.4880   0.0000  -0.3928

Edit limits:
  SNR                      : 0.0
  Elevation [deg]          : 0.0
  Sig(pseudorange) [m]     : 2.000
  Sig(range-rate) [m/s]    : 0.100
  PDOP                     : 6.0
  Min.number of obs.       : 4
  Min.number of obs.       : 4

Data weights:
  Sig(pseudorange) [m]     : 1.500

Loading GPS orbit and clock data ...
  loaded /home/ae4872/Resources/IGS/codx13165.sp3
  first  2005/04/01  00:00:00.000
  last   2005/04/01  23:59:30.000

Loading antenna offsets and patterns ...
  loaded /home/ae4872/Models/CMP_pod_est.atx
  loaded /home/ae4872/Models/igs05_1467_gnss.atx
Earth rotation parameters:
  UT1-UTC [s]              :  -0.573
  UTC-TAI [s]              : -32.000
  GPS-UTC [s]              :  13.000
  x_pole ["]               :  -0.029
  y_pole ["]               :   0.243


Single Point Positioning

  Date        GPS time          x[m]        y[m]        z[m]         cdt[m]   sigr[m] rmsPR[m]  nObs *
2005/04/01  00:00:00.000           0.0         0.0         0.0         0.0      0.00    0.00    0(6) -
2005/04/01  00:00:10.000     3484620.3    960929.3  -5696697.6        13.5      3.21    0.06    6(6) +
2005/04/01  00:00:20.000     3545503.5    982071.9  -5655331.4        -8.3      3.20    0.31    6(6) +
2005/04/01  00:00:30.000     3605960.2   1003000.6  -5613234.6       -31.3      3.19    0.25    6(6) +
2005/04/01  00:00:40.000     3665984.0   1023712.4  -5570407.5       -38.0      3.19    0.41    6(6) +
2005/04/01  00:00:50.000     3725562.8   1044204.6  -5526859.2       -35.9      3.18    0.18    6(6) +
2005/04/01  00:01:00.000     3784692.5   1064475.0  -5482594.5       -69.1      3.18    0.25    6(6) +
2005/04/01  00:01:10.000     3843365.2   1084524.0  -5437616.5      -107.1      3.18    0.24    6(6) +
2005/04/01  00:01:20.000     3901570.4   1104346.3  -5391934.2      -125.7      3.17    0.39    6(6) +
2005/04/01  00:01:30.000     3959303.0   1123943.2  -5345551.4      -136.4      3.17    0.30    6(6) +
2005/04/01  00:01:40.000     4016550.7   1143309.9  -5298476.5      -134.1      2.51    0.74    7(7) +
2005/04/01  00:01:50.000     4073311.2   1162447.4  -5250710.8      -108.4      2.51    0.56    7(7) +
2005/04/01  00:02:00.000     4129574.2   1181351.4  -5202263.1       -81.9      2.51    0.71    7(7) +
2005/04/01  00:02:10.000     4185333.8   1200024.1  -5153142.1       -83.2      2.50    0.47    7(7) +
2005/04/01  00:02:20.000     4240579.1   1218459.1  -5103353.3       -71.1      2.50    0.33    7(7) +
2005/04/01  00:02:30.000     4295304.0   1236657.1  -5052900.1       -35.0      2.50    0.52    7(7) +
2005/04/01  00:02:40.000     4349500.5   1254616.3  -5001789.6       -18.6      2.50    0.21    7(7) +
2005/04/01  00:02:50.000     4403163.3   1272334.0  -4950031.8        -4.4      2.50    0.36    7(7) +
2005/04/01  00:03:00.000     4456285.2   1289810.6  -4897629.3        16.8      2.50    0.57    7(7) +
2005/04/01  00:03:10.000     4508855.2   1307044.8  -4844593.1        35.7      2.50    0.27    7(7) +
2005/04/01  00:03:20.000     4560868.0   1324032.5  -4790925.5        33.8      2.50    0.33    7(7) +
2005/04/01  00:03:30.000     4612318.8   1340774.4  -4736634.9        26.4      2.50    0.29    7(7) +
